Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
434	3.81295199892435		5.89958237388737		1.00950396060944	3.80992516631583	5.95435119418503	0.639855635327081	0.00434482837714835	99.0045539860037
431	3.90523231349702		6.02089391148857		1.01144683361053	3.9022054808885	6.08851100101498	0.640912939179708	0.00456252220983124	98.9549395403279
428	3.9507339099949		6.08370919932351		1.01243805885315	3.94770707738637	6.15807437409596	0.641061935528493	0.00477173079759103	98.9072823895404
425	3.90765617579203		6.02938581819292		1.01161909103394	3.9046293431835	6.09813849770306	0.640298567284792	0.00497406445557408	98.8612131622276
422	3.80981138858534		5.90549409993797		1.00885629653931	3.80678455597681	5.95649516310984	0.639098068869969	0.00524880769866044	98.7986913899549
419	3.99300129507991		6.22108096391132		1.00495207309723	3.98997446247138	6.25059349774358	0.638335297905988	0.00551510575774233	98.7381291764594
416	3.75342160121301		5.87778240082995		1.00159430503845	3.75039476860448	5.8858629910082	0.63718689584415	0.00584892082345876	98.6622644983567
413	3.5992448196025		5.65984009945471		0.999505758285522	3.59621798699398	5.6557550732076	0.635851082736937	0.00619289365659592	98.5841522863807
410	3.51314988098168		5.54118454817102		0.998442947864532	3.51012304837315	5.5312703070193	0.634596187410825	0.00654530878770013	98.5041870645849
407	3.44308279630071		5.44236556174947		0.998479962348938	3.44005596369219	5.43280658557978	0.633200521591009	0.00697095115246301	98.4076925949432
404	3.42783865817803		5.42335501495044		0.999883472919464	3.42481182556951	5.42143486342857	0.631716863126456	0.00736355963140763	98.3187708200556
401	3.50601096255317		5.54555630596605		1.0028669834137	3.50298412994465	5.56016329636194	0.630014613462284	0.00773970159092386	98.2336539090143
398	3.62206855486287		5.7208739956952		1.00763070583344	3.61904172225434	5.76323013744828	0.627953705811356	0.00815319118292064	98.1401706507117
395	3.68613071769282		5.80892762815586		1.014279961586	3.6831038850843	5.89057216026181	0.625254013511753	0.00859105333310681	98.0412741351635
392	3.70166620102918		5.8164960216803		1.02275133132935	3.69863936842066	5.94751140461242	0.621880164122474	0.00905902893297047	97.9356863018299
389	3.72768272680413		5.83914148545701		1.03292346000671	3.72465589419561	6.03005547629561	0.61768186193931	0.00953610753574967	97.8281616410857
386	3.77462770952671		5.89451397058731		1.0453143119812	3.77160087691818	6.16027310174176	0.612245725900008	0.0100646959607206	97.7091654768335
383	3.82389598813843		5.95630378723494		1.05927264690399	3.82086915552991	6.30798498158598	0.605719443956135	0.0106211186314471	97.5840596240666
380	3.85517336838455		5.99284194871004		1.07346177101135	3.85214653577602	6.43170375444085	0.598930964927646	0.0112333203278267	97.4465975052228
377	3.85898604659197		5.99023906786106		1.08691358566284	3.85595921398344	6.50947191658484	0.592361294955314	0.0118827253344666	97.3009934941992
374	3.86296339276748		5.9909681913933		1.09886765480042	3.85993656015896	6.58186545798582	0.586450237367838	0.0125918643537161	97.1422449232406
371	3.8820236173007		6.0187812113017		1.10769784450531	3.87899678469217	6.6655638896006	0.581945781173002	0.0133683114364926	96.9687257294297
368	3.92039527974503		6.08005252209203		1.11034965515137	3.9173684471365	6.74955372008212	0.580389253808153	0.0141798640730978	96.7876924756711
365	3.98149354854386		6.17981127169341		1.1039605140686	3.97846671593534	6.82084535856783	0.583280591596742	0.0150554778048866	96.5927481246076
362	4.06170878748115		6.31123294109015		1.09065783023834	4.05868195487262	6.88199049417918	0.589754077443943	0.0159145528208588	96.4018675063258
359	4.15115683644014		6.45909447126105		1.07510840892792	4.14813000383161	6.94284168148054	0.597468615033583	0.0167847171069205	96.2089074660708
356	4.23679040055109		6.60431645798545		1.05763041973114	4.23376356794256	6.98356340635076	0.606246885951152	0.0177050266617659	96.0052478929841
353	4.30616794177778		6.72747153805976		1.03917491436005	4.30314110916925	6.98968085513082	0.615642001166692	0.0186365119413224	95.7995541890104
